Tree,dbh,parcela
1,16.5,1
2,25.3,1
3,22.1,1
4,17.2,1
5,16.1,1
6,8.1,1
7,34.3,1
8,5.4,1
9,5.7,1
10,11.2,1
11,24.1,2
12,14.5,2
13,7.7,2
14,15.6,2
15,15.9,2
16,10,2
17,17.5,2
18,20.5,2
19,7.8,2
20,27.3,2
21,9.7,3
22,6.5,3
23,23.4,3
24,8.2,3
25,28.5,3
26,10.4,3
27,11.5,3
28,14.3,3
29,17.2,3
30,16.8,3
